County,FIPS,Average Annual Count,State
Union County,12125.0,245.0,Florida
Traverse County,27155.0,37.0,Minnesota
Polk County,48373.0,436.0,Texas
Galax City,51640.0,55.0,Virginia
Greeley County,31077.0,21.0,Nebraska
Dewey County,46041.0,28.0,South Dakota
Quitman County,28119.0,52.0,Mississippi
Wheatland County,30107.0,19.0,Montana
Faulk County,46049.0,21.0,South Dakota
Stonewall County,48433.0,12.0,Texas
Logan County,31113.0,6.0,Nebraska
Lincoln County,21137.0,193.0,Kentucky
Floyd County,21071.0,295.0,Kentucky
Chattahoochee County,13053.0,26.0,Georgia
Bracken County,21023.0,67.0,Kentucky
Rosebud County,30087.0,58.0,Montana
Knox County,21121.0,231.0,Kentucky
Hitchcock County,31087.0,25.0,Nebraska
Aurora County,46003.0,23.0,South Dakota
Owsley County,21189.0,34.0,Kentucky
Powell County,21197.0,93.0,Kentucky
Menard County,17129.0,102.0,Illinois
Trousdale County,47169.0,68.0,Tennessee
Livingston County,21139.0,81.0,Kentucky
Estill County,21065.0,112.0,Kentucky
Iberville Parish,22047.0,228.0,Louisiana
Hudspeth County,48229.0,16.0,Texas
Lawrence County,5075.0,130.0,Arkansas
Bath County,21011.0,93.0,Kentucky
Adair County,21001.0,149.0,Kentucky
Lincoln County,27081.0,50.0,Minnesota
Rolette County,38079.0,72.0,North Dakota
Palo Alto County,19147.0,74.0,Iowa
Cameron Parish,22023.0,43.0,Louisiana
Cumberland County,21057.0,52.0,Kentucky
McCook County,46087.0,44.0,South Dakota
Pleasants County,54073.0,60.0,West Virginia
Logan County,54045.0,268.0,West Virginia
Grant County,21081.0,162.0,Kentucky
Wolfe County,21237.0,53.0,Kentucky
Pickens County,13227.0,282.0,Georgia
Golden Valley County,30037.0,9.0,Montana
Whitley County,21235.0,245.0,Kentucky
Camp County,48063.0,91.0,Texas
Cass County,19029.0,113.0,Iowa
Mahnomen County,27087.0,40.0,Minnesota
Shelby County,17173.0,182.0,Illinois
Grayson County,21085.0,197.0,Kentucky
Lawrence County,39087.0,450.0,Ohio
Essex County,51057.0,95.0,Virginia
Marion County,17121.0,292.0,Illinois
Clinton County,21053.0,74.0,Kentucky
Piscataquis County,23021.0,165.0,Maine
Alexander County,17003.0,49.0,Illinois
Butler County,21031.0,93.0,Kentucky
Prairie County,30079.0,10.0,Montana
Ripley County,29181.0,88.0,Missouri
Mathews County,51115.0,89.0,Virginia
Morgan County,17137.0,266.0,Illinois
Poinsett County,5111.0,172.0,Arkansas
Crenshaw County,1041.0,102.0,Alabama
Lewis County,54041.0,137.0,West Virginia
Pike County,17149.0,121.0,Illinois
Jackson County,46071.0,16.0,South Dakota
DeKalb County,17037.0,565.0,Illinois
Blaine County,31009.0,4.0,Nebraska
Carter County,21043.0,202.0,Kentucky
Harrison County,21097.0,138.0,Kentucky
Anson County,37007.0,170.0,North Carolina
Cherokee County,19035.0,100.0,Iowa
Scott County,17171.0,38.0,Illinois
Clay County,17025.0,106.0,Illinois
Macon County,17115.0,810.0,Illinois
Pike County,39131.0,197.0,Ohio
Hernando County,12053.0,1804.0,Florida
Lincoln County,54043.0,160.0,West Virginia
Washington County,23029.0,281.0,Maine
Taylor County,21217.0,182.0,Kentucky
Red Lake County,27125.0,31.0,Minnesota
Lawrence County,21127.0,119.0,Kentucky
Monroe County,21171.0,82.0,Kentucky
Appanoose County,19007.0,107.0,Iowa
Clay County,54015.0,67.0,West Virginia
Henry County,21103.0,117.0,Kentucky
Pike County,21195.0,450.0,Kentucky
Hopewell City,51670.0,147.0,Virginia
Kingsbury County,46077.0,44.0,South Dakota
Spencer County,21215.0,129.0,Kentucky
Covington City,51580.0,45.0,Virginia
Mason County,17125.0,112.0,Illinois
Twiggs County,13289.0,69.0,Georgia
Niagara County,36063.0,1642.0,New York
McLean County,21149.0,71.0,Kentucky
Fleming County,21069.0,109.0,Kentucky
Lowndes County,1085.0,77.0,Alabama
Montour County,42093.0,143.0,Pennsylvania
Clay County,21051.0,137.0,Kentucky
Rockcastle County,21203.0,120.0,Kentucky
Orleans County,36073.0,300.0,New York
Cape May County,34009.0,920.0,New Jersey
Tishomingo County,28141.0,147.0,Mississippi
Pulaski County,17153.0,43.0,Illinois
Norman County,27107.0,51.0,Minnesota
Oregon County,29149.0,72.0,Missouri
Harrison County,19085.0,112.0,Iowa
Buffalo County,46017.0,9.0,South Dakota
Oswego County,36075.0,818.0,New York
Sangamon County,17167.0,1414.0,Illinois
Edwards County,48137.0,13.0,Texas
Carlisle County,21039.0,38.0,Kentucky
Mercer County,21167.0,171.0,Kentucky
Green County,21087.0,87.0,Kentucky
Greene County,17061.0,95.0,Illinois
Macoupin County,17117.0,357.0,Illinois
Petersburg City,51730.0,226.0,Virginia
Washington County,39167.0,486.0,Ohio
Wilkin County,27167.0,49.0,Minnesota
Montgomery County,21173.0,186.0,Kentucky
Owen County,21187.0,84.0,Kentucky
Drew County,5043.0,121.0,Arkansas
Coahoma County,28027.0,140.0,Mississippi
Christian County,17021.0,261.0,Illinois
Garfield County,31071.0,17.0,Nebraska
Grand Isle County,50013.0,60.0,Vermont
Delta County,48119.0,42.0,Texas
St. Landry Parish,22097.0,543.0,Louisiana
Pike County,13231.0,125.0,Georgia
Nassau County,12089.0,737.0,Florida
Grundy County,17063.0,318.0,Illinois
Armstrong County,48011.0,15.0,Texas
Humphreys County,28053.0,54.0,Mississippi
Breckinridge County,21027.0,153.0,Kentucky
Elbert County,13105.0,148.0,Georgia
Sanborn County,46111.0,18.0,South Dakota
Nottoway County,51135.0,116.0,Virginia
Amelia County,51007.0,106.0,Virginia
Cortland County,36023.0,308.0,New York
Monroe County,19135.0,57.0,Iowa
Logan County,17107.0,205.0,Illinois
Clay County,27027.0,357.0,Minnesota
Covington County,28031.0,125.0,Mississippi
Howard County,19089.0,73.0,Iowa
Woodruff County,5147.0,51.0,Arkansas
White County,13311.0,228.0,Georgia
Clay County,46027.0,68.0,South Dakota
Hardin County,21093.0,670.0,Kentucky
Perry County,21193.0,198.0,Kentucky
Musselshell County,30065.0,44.0,Montana
Jefferson County,30043.0,100.0,Montana
Boyd County,21019.0,363.0,Kentucky
Hart County,21099.0,129.0,Kentucky
Lancaster County,51103.0,121.0,Virginia
McDowell County,37111.0,351.0,North Carolina
Montgomery County,29139.0,87.0,Missouri
Vermilion Parish,22113.0,373.0,Louisiana
Jasper County,13159.0,103.0,Georgia
Martin County,48317.0,26.0,Texas
Onslow County,37133.0,829.0,North Carolina
Vermilion County,17183.0,554.0,Illinois
Lexington City,51678.0,39.0,Virginia
Marshall County,47117.0,226.0,Tennessee
Allegany County,24001.0,526.0,Maryland
Marion County,21155.0,130.0,Kentucky
Oldham County,21185.0,402.0,Kentucky
Russell County,21207.0,136.0,Kentucky
Jefferson County,36045.0,667.0,New York
Pawnee County,40117.0,116.0,Oklahoma
Menominee County,55078.0,24.0,Wisconsin
Lumpkin County,13187.0,219.0,Georgia
Wetzel County,54103.0,118.0,West Virginia
Schuyler County,36097.0,145.0,New York
Wayne County,21231.0,151.0,Kentucky
Martinsville City,51690.0,97.0,Virginia
Swain County,37173.0,105.0,North Carolina
Randolph County,5121.0,133.0,Arkansas
Habersham County,13137.0,315.0,Georgia
Effingham County,13103.0,346.0,Georgia
Bullitt County,21029.0,540.0,Kentucky
Terrell County,13273.0,69.0,Georgia
Mississippi County,29133.0,92.0,Missouri
Minnehaha County,46099.0,1079.0,South Dakota
St. James Parish,22093.0,144.0,Louisiana
Schuylkill County,42107.0,1120.0,Pennsylvania
Decatur County,19053.0,55.0,Iowa
Wayne County,54099.0,303.0,West Virginia
Franklin County,31061.0,26.0,Nebraska
Trimble County,21223.0,60.0,Kentucky
Pendleton County,21191.0,99.0,Kentucky
Mercer County,17131.0,120.0,Illinois
Harrison County,54033.0,490.0,West Virginia
Oglethorpe County,13221.0,108.0,Georgia
Acadia Parish,22001.0,370.0,Louisiana
Boone County,31011.0,44.0,Nebraska
Gallatin County,21077.0,53.0,Kentucky
Nelson County,21179.0,300.0,Kentucky
Clinton County,19045.0,345.0,Iowa
Barren County,21009.0,304.0,Kentucky
Harlan County,21095.0,195.0,Kentucky
Franklin County,17055.0,288.0,Illinois
Lee County,13177.0,183.0,Georgia
Hubbard County,27057.0,181.0,Minnesota
Flagler County,12035.0,1144.0,Florida
Jefferson County,5069.0,466.0,Arkansas
Tama County,19171.0,123.0,Iowa
Grant County,27051.0,50.0,Minnesota
Gloucester County,34015.0,1962.0,New Jersey
Sumter County,13261.0,193.0,Georgia
St. Martin Parish,22099.0,341.0,Louisiana
Marion County,29127.0,194.0,Missouri
Jones County,13169.0,195.0,Georgia
Baylor County,48023.0,28.0,Texas
