FID,Region,Country,Plant,NumReactor,Latitude,Longitude
3,America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE,2,35.31032,-93.231289
9,America - Northern,UNITED STATES OF AMERICA,BEAVER VALLEY,2,40.6219,-80.4339
16,America - Northern,UNITED STATES OF AMERICA,BIG ROCK POINT,1,45.358889,-85.197222
21,America - Northern,UNITED STATES OF AMERICA,BONUS,1,18.366389,-67.268611
24,America - Northern,UNITED STATES OF AMERICA,BRAIDWOOD,2,41.2436,-88.2289
27,America - Northern,UNITED STATES OF AMERICA,BROWNS FERRY,3,34.7042,-87.1186
30,America - Northern,UNITED STATES OF AMERICA,BRUNSWICK,2,33.9583,-78.0106
33,America - Northern,UNITED STATES OF AMERICA,BYRON,2,42.075,-89.2819
34,America - Northern,UNITED STATES OF AMERICA,CALLAWAY,1,38.7583,-91.7817
35,America - Northern,UNITED STATES OF AMERICA,CALVERT CLIFFS,2,38.4347,-76.4419
37,America - Northern,UNITED STATES OF AMERICA,CATAWBA,2,35.0514,-81.0694
49,America - Northern,UNITED STATES OF AMERICA,CLINTON,1,40.1719,-88.8342
51,America - Northern,UNITED STATES OF AMERICA,COLUMBIA,1,46.471111,-119.333889
52,America - Northern,UNITED STATES OF AMERICA,COMANCHE PEAK,2,32.2978,-97.785
53,America - Northern,UNITED STATES OF AMERICA,COOPER,1,40.3619,-95.6411
56,America - Northern,UNITED STATES OF AMERICA,CRYSTAL RIVER,1,28.9572,-82.6989
57,America - Northern,UNITED STATES OF AMERICA,CVTR,1,34.2625,-81.329167
60,America - Northern,UNITED STATES OF AMERICA,DAVIS BESSE,1,41.5972,-83.0864
61,America - Northern,UNITED STATES OF AMERICA,DIABLO CANYON,2,35.2117,-120.854
64,America - Northern,UNITED STATES OF AMERICA,DONALD COOK,2,41.9761,-86.5664
67,America - Northern,UNITED STATES OF AMERICA,DRESDEN,3,41.3897,-88.2711
68,America - Northern,UNITED STATES OF AMERICA,DUANE ARNOLD,1,42.1006,-91.7772
71,America - Northern,UNITED STATES OF AMERICA,ELK RIVER,1,45.295172,-93.5567
74,America - Northern,UNITED STATES OF AMERICA,ENRICO FERMI,3,41.9633,-83.2586
76,America - Northern,UNITED STATES OF AMERICA,FARLEY,2,31.2228,-85.1125
78,America - Northern,UNITED STATES OF AMERICA,FITZPATRICK,1,43.5239,-76.3983
81,America - Northern,UNITED STATES OF AMERICA,FORT CALHOUN,1,41.5208,-96.0767
82,America - Northern,UNITED STATES OF AMERICA,FORT ST. VRAIN,1,40.244444,-104.874167
93,America - Northern,UNITED STATES OF AMERICA,GRAND GULF,1,32.0075,-91.0481
99,America - Northern,UNITED STATES OF AMERICA,H.B. ROBINSON,1,34.4053,-80.1586
100,America - Northern,UNITED STATES OF AMERICA,HADDAM NECK,1,41.481944,-72.499167
102,America - Northern,UNITED STATES OF AMERICA,HALLAM,1,40.55925,-96.784711
105,America - Northern,UNITED STATES OF AMERICA,HATCH,2,31.9342,-82.3444
112,America - Northern,UNITED STATES OF AMERICA,HOPE CREEK,1,39.4678,-75.5381
113,America - Northern,UNITED STATES OF AMERICA,HUMBOLDT BAY,1,40.741322,-124.209044
118,America - Northern,UNITED STATES OF AMERICA,INDIAN POINT,3,41.2714,-73.9525
127,America - Northern,UNITED STATES OF AMERICA,KEWAUNEE,1,44.3431,-87.5361
139,America - Northern,UNITED STATES OF AMERICA,LACROSSE,1,43.560062,-91.231485
141,America - Northern,UNITED STATES OF AMERICA,LASALLE,2,41.2439,-88.6708
146,America - Northern,UNITED STATES OF AMERICA,LIMERICK,2,40.226339,-75.586916
