County,FIPS,Average Annual Count,State
Armstrong County,48011.0,3,Texas
Aurora County,46003.0,5,South Dakota
Webster County,13307.0,4,Georgia
Haakon County,46055.0,3,South Dakota
Traverse County,27155.0,5,Minnesota
McCook County,46087.0,8,South Dakota
Calhoun County,13037.0,6,Georgia
Pickens County,1107.0,26,Alabama
Mountrail County,38061.0,9,North Dakota
Humphreys County,28053.0,10,Mississippi
Calhoun County,17013.0,7,Illinois
Hitchcock County,31087.0,4,Nebraska
Essex County,51057.0,17,Virginia
Stillwater County,30095.0,11,Montana
Johnson County,31097.0,5,Nebraska
Tishomingo County,28141.0,24,Mississippi
Lipscomb County,48295.0,3,Texas
Cameron Parish,22023.0,6,Louisiana
Chattahoochee County,13053.0,4,Georgia
Harrison County,19085.0,19,Iowa
Williamsburg City,51830.0,14,Virginia
Howard County,19089.0,11,Iowa
Jones County,37103.0,13,North Carolina
Anson County,37007.0,28,North Carolina
Pleasants County,54073.0,8,West Virginia
Green Lake County,55047.0,25,Wisconsin
Union County,12125.0,11,Florida
Hood River County,41027.0,26,Oregon
Mercer County,38057.0,9,North Dakota
Clay County,46027.0,10,South Dakota
Hamlin County,46057.0,5,South Dakota
Clay County,31035.0,7,Nebraska
Kingsbury County,46077.0,6,South Dakota
Grand Isle County,50013.0,10,Vermont
Redwood County,27127.0,17,Minnesota
Owsley County,21189.0,5,Kentucky
Red Willow County,31145.0,12,Nebraska
Dewey County,46041.0,4,South Dakota
Hopewell City,51670.0,25,Virginia
Cherokee County,19035.0,14,Iowa
Thayer County,31169.0,6,Nebraska
Hardeman County,48197.0,4,Texas
Galax City,51640.0,9,Virginia
Person County,37145.0,47,North Carolina
Nantucket County,25019.0,14,Massachusetts
Perkins County,31135.0,3,Nebraska
Keokuk County,19107.0,11,Iowa
Florence County,55037.0,5,Wisconsin
Warren County,13301.0,7,Georgia
Fredericksburg City,51630.0,23,Virginia
Clarke County,1025.0,28,Alabama
Martin County,37117.0,31,North Carolina
St. James Parish,22093.0,23,Louisiana
Tama County,19171.0,17,Iowa
Clearwater County,27029.0,9,Minnesota
Rosebud County,30087.0,8,Montana
Martinsville City,51690.0,16,Virginia
Pitt County,37147.0,159,North Carolina
Trimble County,21223.0,9,Kentucky
Brunswick County,51025.0,18,Virginia
Amelia County,51007.0,16,Virginia
Grundy County,29079.0,11,Missouri
Polk County,48373.0,53,Texas
McLean County,38055.0,11,North Dakota
