County,FIPS,Average Annual Count,State
Armstrong County,48011,3,Texas
Aurora County,46003,5,South Dakota
Webster County,13307,4,Georgia
Haakon County,46055,3,South Dakota
Traverse County,27155,5,Minnesota
McCook County,46087,8,South Dakota
Calhoun County,13037,6,Georgia
Pickens County,1107,26,Alabama
Mountrail County,38061,9,North Dakota
Humphreys County,28053,10,Mississippi
Calhoun County,17013,7,Illinois
Hitchcock County,31087,4,Nebraska
Essex County,51057,17,Virginia
Stillwater County,30095,11,Montana
Johnson County,31097,5,Nebraska
Tishomingo County,28141,24,Mississippi
Lipscomb County,48295,3,Texas
Cameron Parish,22023,6,Louisiana
Chattahoochee County,13053,4,Georgia
Harrison County,19085,19,Iowa
Williamsburg City,51830,14,Virginia
Howard County,19089,11,Iowa
Jones County,37103,13,North Carolina
Anson County,37007,28,North Carolina
Pleasants County,54073,8,West Virginia
Green Lake County,55047,25,Wisconsin
Union County,12125,11,Florida
Hood River County,41027,26,Oregon
Mercer County,38057,9,North Dakota
Clay County,46027,10,South Dakota
Hamlin County,46057,5,South Dakota
Clay County,31035,7,Nebraska
Kingsbury County,46077,6,South Dakota
Grand Isle County,50013,10,Vermont
Redwood County,27127,17,Minnesota
Owsley County,21189,5,Kentucky
Red Willow County,31145,12,Nebraska
Dewey County,46041,4,South Dakota
Hopewell City,51670,25,Virginia
Cherokee County,19035,14,Iowa
Thayer County,31169,6,Nebraska
Hardeman County,48197,4,Texas
Galax City,51640,9,Virginia
Person County,37145,47,North Carolina
Nantucket County,25019,14,Massachusetts
Perkins County,31135,3,Nebraska
Keokuk County,19107,11,Iowa
Florence County,55037,5,Wisconsin
Warren County,13301,7,Georgia
Fredericksburg City,51630,23,Virginia
Clarke County,1025,28,Alabama
Martin County,37117,31,North Carolina
St. James Parish,22093,23,Louisiana
Tama County,19171,17,Iowa
Clearwater County,27029,9,Minnesota
Rosebud County,30087,8,Montana
Martinsville City,51690,16,Virginia
Pitt County,37147,159,North Carolina
Trimble County,21223,9,Kentucky
Brunswick County,51025,18,Virginia
Amelia County,51007,16,Virginia
Grundy County,29079,11,Missouri
Polk County,48373,53,Texas
McLean County,38055,11,North Dakota
Woodford County,17203,42,Illinois
Big Stone County,27011,7,Minnesota
Lincoln County,27081,7,Minnesota
Morgan County,17137,37,Illinois
Bottineau County,38009,7,North Dakota
Holt County,29087,5,Missouri
Towns County,13281,18,Georgia
Yellowstone County,30111,172,Montana
Pierce County,38069,4,North Dakota
Jefferson County,31095,9,Nebraska
Ozaukee County,55089,103,Wisconsin
Quitman County,28119,7,Mississippi
Marion County,19125,35,Iowa
Pulaski County,17153,5,Illinois
New Kent County,51127,25,Virginia
San Juan County,53055,29,Washington
Lake County,41037,9,Oregon
Warren County,19181,52,Iowa
Lafayette County,55065,17,Wisconsin
Calhoun County,54013,7,West Virginia
Big Horn County,30003,11,Montana
Mahaska County,19123,23,Iowa
Nicollet County,27103,32,Minnesota
Park County,56029,31,Wyoming
Pierce County,31139,7,Nebraska
Lewis County,16061,5,Idaho
Washington County,31177,22,Nebraska
Saline County,31151,13,Nebraska
Rolette County,38079,11,North Dakota
Benson County,38005,5,North Dakota
Madison County,28089,104,Mississippi
Staunton City,51790,31,Virginia
Price County,55099,17,Wisconsin
Charles City County,51036,10,Virginia
Pocahontas County,19151,8,Iowa
Musselshell County,30065,6,Montana
Northampton County,51131,15,Virginia
Sampson County,37163,59,North Carolina
Brooks County,13027,16,Georgia
Marengo County,1091,20,Alabama
Washington County,55131,147,Wisconsin
Schuyler County,36097,21,New York
Pembina County,38067,8,North Dakota
Valley County,31175,5,Nebraska
Clark County,46025,4,South Dakota
Cedar County,19031,20,Iowa
Monroe County,17133,36,Illinois
Lake County,26085,15,Michigan
Oconto County,55083,40,Wisconsin
Grenada County,28043,23,Mississippi
Lamar County,13171,18,Georgia
Lake County,30047,36,Montana
Petersburg City,51730,36,Virginia
Washington County,23029,39,Maine
Torrance County,35057,17,New Mexico
Emmons County,38029,5,North Dakota
Lee County,13177,29,Georgia
Washington County,19183,23,Iowa
Franklin County,48159,11,Texas
Washington County,27163,254,Minnesota
Natchitoches Parish,22069,34,Louisiana
Larimer County,8069,322,Colorado
Putnam County,36079,104,New York
Waukesha County,55133,434,Wisconsin
Fleming County,21069,16,Kentucky
Marquette County,55077,18,Wisconsin
Prowers County,8099,11,Colorado
Owyhee County,16073,11,Idaho
Pawnee County,40117,15,Oklahoma
Hunterdon County,34019,141,New Jersey
Monroe County,28095,37,Mississippi
Carbon County,56007,12,Wyoming
Childress County,48075,5,Texas
Claiborne Parish,22027,14,Louisiana
Scott County,17171,6,Illinois
Hamilton County,36041,6,New York
Union County,37179,209,North Carolina
Olmsted County,27109,146,Minnesota
Putnam County,39137,34,Ohio
Harris County,13145,36,Georgia
Clay County,27027,51,Minnesota
Bryan County,13029,33,Georgia
Sheridan County,31161,6,Nebraska
Scott County,19163,169,Iowa
Kent County,44003,189,Rhode Island
Lewis County,29111,9,Missouri
Grimes County,48185,24,Texas
New Hanover County,37129,237,North Carolina
Tolland County,9013,137,Connecticut
Skagit County,53057,134,Washington
Wake County,37183,949,North Carolina
Renville County,27129,14,Minnesota
Mecklenburg County,51117,39,Virginia
Foster County,38031,4,North Dakota
Washington County,44009,146,Rhode Island
Wyoming County,36121,40,New York
Hale County,1065,17,Alabama
Spencer County,21215,19,Kentucky
Greene County,37079,18,North Carolina
Northampton County,37131,22,North Carolina
Houston County,27055,20,Minnesota
Bond County,17005,16,Illinois
Wirt County,54105,6,West Virginia
Warren County,36113,78,New York
Clay County,1027,16,Alabama
Oldham County,21185,58,Kentucky
Guilford County,37081,510,North Carolina
Worth County,19195,8,Iowa
Huerfano County,8055,7,Colorado
Ringgold County,19159,5,Iowa
Grundy County,19075,12,Iowa
Lafayette County,12067,6,Florida
Brunswick County,37019,197,North Carolina
Shelby County,29205,6,Missouri
Livingston County,36051,62,New York
Cumberland County,17035,10,Illinois
Barbour County,54001,16,West Virginia
Goochland County,51075,29,Virginia
Menominee County,55078,3,Wisconsin
Alleghany County and Clifton Forge City,51005,18,Virginia
Madison County,19121,16,Iowa
Leelanau County,26089,28,Michigan
St. Louis County,29189,1041,Missouri
McHenry County,17111,291,Illinois
Monmouth County,34025,671,New Jersey
Terrell County,13273,10,Georgia
Monroe County,36055,753,New York
Jasper County,19099,38,Iowa
Presque Isle County,26141,15,Michigan
Yellow Medicine County,27173,11,Minnesota
Butler County,1013,20,Alabama
Marin County,6041,304,California
Sangamon County,17167,202,Illinois
Litchfield County,9005,208,Connecticut
Kankakee County,17091,103,Illinois
Barnes County,38003,11,North Dakota
Carteret County,37031,84,North Carolina
Douglas County,8035,306,Colorado
Geauga County,39055,102,Ohio
St. Johns County,12109,291,Florida
Baldwin County,13009,37,Georgia
Woodford County,21239,28,Kentucky
Talbot County,24041,48,Maryland
Hamilton County,19079,14,Iowa
Missoula County,30063,100,Montana
Fairfax City,51600,22,Virginia
DeKalb County,17037,77,Illinois
Macon County,29121,15,Missouri
Rappahannock County,51157,9,Virginia
Mason County,26105,32,Michigan
King and Queen County,51097,8,Virginia
Wayne County,37191,110,North Carolina
Teton County,56039,20,Wyoming
Clarendon County,45027,38,South Carolina
Orange County,37135,127,North Carolina
Ontario County,36069,123,New York
Baker County,13007,4,Georgia
Lexington City,51678,5,Virginia
Bristol County,44001,56,Rhode Island
Dillon County,45033,27,South Carolina
Rowan County,37159,146,North Carolina
Morrison County,27097,33,Minnesota
Johnson County,19103,106,Iowa
Montgomery County,28097,11,Mississippi
Danville City,51590,48,Virginia
Nance County,31125,3,Nebraska
Dakota County,27037,386,Minnesota
Henderson County,37089,147,North Carolina
Summit County,49043,35,Utah
Grundy County,17063,46,Illinois
Chisago County,27025,50,Minnesota
Washburn County,55129,19,Wisconsin
Faribault County,27043,15,Minnesota
Ripley County,29181,11,Missouri
St. Martin Parish,22099,49,Louisiana
Johnston County,37101,184,North Carolina
Sharp County,5135,19,Arkansas
Greene County,13133,24,Georgia
Brown County,27015,26,Minnesota
Snohomish County,53061,707,Washington
Chippewa County,27023,12,Minnesota
Paulding County,13223,133,Georgia
Mecklenburg County,37119,880,North Carolina
Carroll County,5015,30,Arkansas
Le Sueur County,27079,27,Minnesota
Boone County,29019,135,Missouri
Lynchburg City,51680,63,Virginia
Richland County,45079,342,South Carolina
Cobb County,13067,647,Georgia
Lenoir County,37107,61,North Carolina
Winneshiek County,19191,21,Iowa
Hughes County,46065,16,South Dakota
Alamance County,37001,164,North Carolina
Cooper County,29053,16,Missouri
McLean County,21149,9,Kentucky
St. Landry Parish,22097,76,Louisiana
Clay County,29047,218,Missouri
Spotsylvania County,51177,122,Virginia
Tucker County,54093,8,West Virginia
Saratoga County,36091,238,New York
Somervell County,48425,10,Texas
Allegany County,24001,71,Maryland
Franklin County,16041,10,Idaho
Mathews County,51115,11,Virginia
Coos County,33007,37,New Hampshire
Jackson County,27063,11,Minnesota
Dare County,37055,42,North Carolina
Latimer County,40077,9,Oklahoma
Gregory County,46053,4,South Dakota
Dade County,13083,15,Georgia
Custer County,46033,10,South Dakota
Preble County,39135,44,Ohio
Strafford County,33017,114,New Hampshire
Onslow County,37133,118,North Carolina
Middlesex County,9007,178,Connecticut
Cherokee County,13057,237,Georgia
Nassau County,12089,98,Florida
Lincoln County,53043,12,Washington
Buncombe County,37021,282,North Carolina
Taylor County,12123,19,Florida
Wayne County,36117,92,New York
Ada County,16001,411,Idaho
Lincoln County,29113,48,Missouri
Norfolk County,25021,695,Massachusetts
St. Tammany Parish,22103,257,Louisiana
Fairbanks North Star,2090,65,Alaska
Durham County,37063,271,North Carolina
Burlington County,34005,453,New Jersey
Iberia Parish,22045,63,Louisiana
Bertie County,37015,20,North Carolina
Bullock County,1011,8,Alabama
Charleston County,45019,377,South Carolina
Christian County,21047,51,Kentucky
Walworth County,55127,100,Wisconsin
Appanoose County,19007,13,Iowa
Meriwether County,13199,22,Georgia
Morrow County,41049,11,Oregon
Jones County,13169,28,Georgia
Henrico County,51087,318,Virginia
Becker County,27005,34,Minnesota
Hennepin County,27053,1067,Minnesota
San Luis Obispo County,6079,275,California
Martin County,27091,21,Minnesota
Nassau County,36059,1345,New York
Kandiyohi County,27067,42,Minnesota
Butte County,46019,11,South Dakota
Palo Pinto County,48363,30,Texas
Albany County,36001,293,New York
Monongalia County,54061,75,West Virginia
Boulder County,8013,276,Colorado
King County,53033,1806,Washington
Watonwan County,27165,11,Minnesota
Jones County,19105,19,Iowa
Thurston County,31173,5,Nebraska
Sumter County,13261,28,Georgia
Augusta County,51015,81,Virginia
Eaton County,26045,109,Michigan
Delaware County,39041,180,Ohio
Tioga County,36107,50,New York
