County,FIPS,Average Annual Count,State
Union County,12125,245,Florida(6)
Traverse County,27155,37,Minnesota(6)
Polk County,48373,436,Texas(7)
Galax City,51640,55,Virginia(6)
Greeley County,31077,21,Nebraska(6)
Dewey County,46041,28,South Dakota(6)
Quitman County,28119,52,Mississippi(6)
Wheatland County,30107,19,Montana(6)
Faulk County,46049,21,South Dakota(6)
Stonewall County,48433,12,Texas(7)
Logan County,31113,6,Nebraska(6)
Lincoln County,21137,193,Kentucky(7)
Floyd County,21071,295,Kentucky(7)
Chattahoochee County,13053,26,Georgia(7)
Bracken County,21023,67,Kentucky(7)
Rosebud County,30087,58,Montana(6)
Knox County,21121,231,Kentucky(7)
Hitchcock County,31087,25,Nebraska(6)
Aurora County,46003,23,South Dakota(6)
Owsley County,21189,34,Kentucky(7)
Powell County,21197,93,Kentucky(7)
Menard County,17129,102,Illinois(7)
Trousdale County,47169,68,Tennessee(6)
Livingston County,21139,81,Kentucky(7)
Estill County,21065,112,Kentucky(7)
Iberville Parish,22047,228,Louisiana(7)
Hudspeth County,48229,16,Texas(7)
Lawrence County,5075,130,Arkansas(6)
Bath County,21011,93,Kentucky(7)
Adair County,21001,149,Kentucky(7)
Lincoln County,27081,50,Minnesota(6)
Rolette County,38079,72,North Dakota(6)
Palo Alto County,19147,74,Iowa(7)
Cameron Parish,22023,43,Louisiana(7)
Cumberland County,21057,52,Kentucky(7)
McCook County,46087,44,South Dakota(6)
Pleasants County,54073,60,West Virginia(6)
Logan County,54045,268,West Virginia(6)
Grant County,21081,162,Kentucky(7)
Wolfe County,21237,53,Kentucky(7)
Pickens County,13227,282,Georgia(7)
Golden Valley County,30037,9,Montana(6)
Whitley County,21235,245,Kentucky(7)
Camp County,48063,91,Texas(7)
Cass County,19029,113,Iowa(7)
Mahnomen County,27087,40,Minnesota(6)
Shelby County,17173,182,Illinois(7)
Grayson County,21085,197,Kentucky(7)
Lawrence County,39087,450,Ohio(6)
Essex County,51057,95,Virginia(6)
Marion County,17121,292,Illinois(7)
Clinton County,21053,74,Kentucky(7)
Piscataquis County,23021,165,Maine(6)
Alexander County,17003,49,Illinois(7)
Butler County,21031,93,Kentucky(7)
Prairie County,30079,10,Montana(6)
Ripley County,29181,88,Missouri(6)
Mathews County,51115,89,Virginia(6)
Morgan County,17137,266,Illinois(7)
Poinsett County,5111,172,Arkansas(6)
Crenshaw County,1041,102,Alabama(6)
Lewis County,54041,137,West Virginia(6)
Pike County,17149,121,Illinois(7)
Jackson County,46071,16,South Dakota(6)
DeKalb County,17037,565,Illinois(7)
Blaine County,31009,4,Nebraska(6)
Carter County,21043,202,Kentucky(7)
Harrison County,21097,138,Kentucky(7)
Anson County,37007,170,North Carolina(6)
Cherokee County,19035,100,Iowa(7)
Scott County,17171,38,Illinois(7)
Clay County,17025,106,Illinois(7)
Macon County,17115,810,Illinois(7)
Pike County,39131,197,Ohio(6)
Hernando County,12053,1804,Florida(6)
Lincoln County,54043,160,West Virginia(6)
Washington County,23029,281,Maine(6)
Taylor County,21217,182,Kentucky(7)
Red Lake County,27125,31,Minnesota(6)
Lawrence County,21127,119,Kentucky(7)
Monroe County,21171,82,Kentucky(7)
Appanoose County,19007,107,Iowa(7)
Clay County,54015,67,West Virginia(6)
Henry County,21103,117,Kentucky(7)
Pike County,21195,450,Kentucky(7)
Hopewell City,51670,147,Virginia(6)
Kingsbury County,46077,44,South Dakota(6)
Spencer County,21215,129,Kentucky(7)
Covington City,51580,45,Virginia(6)
Mason County,17125,112,Illinois(7)
Twiggs County,13289,69,Georgia(7)
Niagara County,36063,1642,New York(7)
McLean County,21149,71,Kentucky(7)
Fleming County,21069,109,Kentucky(7)
Lowndes County,1085,77,Alabama(6)
Montour County,42093,143,Pennsylvania(6)
Clay County,21051,137,Kentucky(7)
Rockcastle County,21203,120,Kentucky(7)
Orleans County,36073,300,New York(7)
Cape May County,34009,920,New Jersey(7)
Tishomingo County,28141,147,Mississippi(6)
Pulaski County,17153,43,Illinois(7)
Norman County,27107,51,Minnesota(6)
Oregon County,29149,72,Missouri(6)
Harrison County,19085,112,Iowa(7)
Buffalo County,46017,9,South Dakota(6)
Oswego County,36075,818,New York(7)
Sangamon County,17167,1414,Illinois(7)
Edwards County,48137,13,Texas(7)
Carlisle County,21039,38,Kentucky(7)
Mercer County,21167,171,Kentucky(7)
